Course_number,Course_title,Units,Type,Time,Days,Instructor,Department,Rating_Class,Overall_Rating
ITAL-224,"Constructing Today's Italy Through the Lens of the Media","4.0 units",Lecture,6:00-7:50pm,"Mon, Thu","Alessio Filippi",Languages,good,4.8
ITAL-224,"Constructing Today's Italy Through the Lens of the Media","4.0 units",Lecture,6:00-7:50pm,"Mon, Thu","Alessio Filippi","French amp Italian",zero,N/A
ITP-342,"iOS App Development","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Trina Gregory","Information Science",good,4.0
ITP-365,"Managing Data in C++","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Nathan Greenfield","Computer Science",good,4.3
ITP-445,"Macintosh, OSX, and iOS Forensics","3.0 units",Lecture-Lab,6:00-8:50pm,Monday,"Pierson Clair",Engineering,good,4.5
JOUR-322,"Introduction to Investigative and Data Journalism","2.0 units",Lecture,10:00-11:50am,Wednesday,"Dana Chinn",Journalism,poor,1.5
JOUR-408,"Advanced Media Law","2.0 units",Lecture,12:00-1:40pm,Thursday,"Susan Gavigan",Journalism,good,5.0
JOUR-492,"Advanced Coding for Storytelling","2.0 units",Lecture,12:30-2:50pm,Thursday,"Peggy Bustamante",Journalism,zero,N/A
LAT-150,"Latin II","4.0 units",Lecture,10:00-10:50am,MTuWTh,"Steven Gonzalez",Classics,zero,N/A
LAT-222,"Latin III","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Devon Harlow",Writing,good,4.3
LAW-521,"Topics in American Law","1.0-4.0 units",Lecture,2:00-4:50pm,Wednesday,"John Heilman",Law,good,5.0
LAW-679,"Review of Law and Social Justice Writing","1.0-4.0 units, max 4",Lecture,TBA,TBA,"Samuel Erman",Law,good,4.1
LAW-849,"International Human Rights Clinic I","4.0-5.0 units",Lecture,TBA,TBA,"Hannah Garry",Law,zero,N/A
LAW-875,"Constitutional Theory Seminar","1.0-4.0 units",Lecture,10:15-11:55am,Wednesday,"Rebecca Brown",Law,good,5.0
LAW-893,"Advanced Clinical Training","1.0-5.0 units, max 10",Lecture,TBA,TBA,"Hannah Garry",Law,zero,N/A
LING-632,"Seminar in Phonetics","3.0 units, max 12",Lecture,2:00-4:20pm,Wednesday,"Louis Goldstein",Linguistics,good,3.7
MASC-334L,"Mechanical Behavior of Materials","4.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Bora Gencturk",Engineering,zero,N/A
MASC-471,"Applied Quantum Mechanics for Engineers","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Martin Gundersen",Engineering,average,2.5
MATH-118xg,"Fundamental Principles of Calculus","4.0 units",Lecture,9:00-9:50am,MWF,"Michael Hall",Mathematics,good,4.3
MATH-118xg,"Fundamental Principles of Calculus","4.0 units",Lecture,9:00-9:50am,MWF,"Michael Hall",Mathematics,good,4.3
MATH-118xg,"Fundamental Principles of Calculus","4.0 units",Lecture,9:00-9:50am,MWF,"Michael Hall",Mathematics,good,4.3
MATH-129,"Calculus II for Engineers and Scientists","4.0 units",Lecture,9:00-9:50am,MWF,"Nathaniel Emerson",Mathematics,good,3.5
MATH-225,"Linear Algebra and Linear Differential Equations","4.0 units",Lecture,9:00-9:50am,MWF,"David Crombecque",Mathematics,good,4.0
MATH-307,"Statistical Inference and Data Analysis I","4.0 units",Lecture,1:00-1:50pm,MWF,"Nivedita Bhaskhar",Mathematics,average,3.0
MATH-407,"Probability Theory","4.0 units",Lecture,9:00-9:50am,MWF,"Richard Arratia",Mathematics,average,2.5
MATH-434,"Geometry and Transformations","4.0 units",Lecture,2:00-2:50pm,MWF,"Guillaume Dreyer",Mathematics,average,2.8
MATH-458,"Numerical Methods","4.0 units",Lecture,12:00-12:50pm,MWF,"Cymra Haskell",Mathematics,poor,2.3
MATH-507a,"Theory of Probability","3.0 units",Lecture,1:00-1:50pm,MWF,"Steven Heilman",Mathematics,good,3.5
MATH-510a,Algebra,"3.0 units",Lecture,12:00-12:50pm,MWF,"Aravind Asok",Mathematics,poor,2.4
MATH-540,Topology,"3.0 units",Lecture,11:00-11:50am,MWF,"Francis Bonahon",Mathematics,good,4.4
MATH-541b,"Introduction to Mathematical Statistics","3.0 units",Lecture,11:00-11:50am,MWF,"Larry Goldstein",Mathematics,average,2.7
MATH-655,"Topics in Partial Differential Equations","3.0 units, max 12",Lecture,2:00-3:15pm,"Mon, Wed","Juhi Jang",Mathematics,good,5.0
MKT-410,"Professional Selling","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Gary Frazier",Business,poor,2.0
MKT-533,"Branding Strategy","1.5-3.0 units",Lecture,5:00-6:20pm,"Mon, Wed","Diane Badame",Marketing,average,3.0
MKT-560,"Marketing Strategy","3.0 units",Lecture,6:30-9:30pm,Wednesday,"Diane Badame",Marketing,average,3.0
MKT-586,"Fashion, Luxury and Lifestyle Marketing","3.0 units",Lecture,6:30-9:30pm,Monday,"Diane Badame",Marketing,average,3.0
MKT-589,"CMO on Shareholder Value","1.5 units",Lecture,5:00-6:20pm,"Mon, Wed","Diane Badame",Marketing,average,3.0
MKT-592,"Field Research in Marketing","0.5-4.0 units, max 12",Lecture,TBA,TBA,"Anthony Dukes",Marketing,good,4.0
MKT-595,"Internship in Marketing","0.5-2.0 units, max 9",Lecture,TBA,TBA,"Anthony Dukes",Marketing,good,4.0
MKT-596,"Research Practicum in Marketing","0.5-2.0 units, max 8",Lecture,TBA,TBA,"Anthony Dukes",Marketing,good,4.0
MKT-621,"Research Forum","1.0 units, max 4",Lecture,12:00-12:50pm,Friday,"Kristin Diehl",Marketing,poor,2.4
MOR-567,"Interpersonal Influence and Power","3.0 units",Lecture,6:30-9:30pm,Wednesday,"Nathanael Fast",Business,good,4.9
MOR-579,"The Business of Sports Entertainment","3.0 units",Lecture,12:30-1:50pm,"Mon, Wed","David Carter",Business,good,4.3
MOR-603,"Seminar in Strategic Management","3.0 units",Lecture,10:00-12:50pm,Monday,"Nan Jia",Business,average,3.0
MPEM-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Adam Gilbert",Music,good,5.0
MPWP-440,"Drum Set for Classical Percussionists","1.0 units, max 2",Lecture,4:00-4:50pm,Tuesday,"Peter Erskine",Music,good,4.5
MSCR-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MSCR-794a,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MSCR-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MSCR-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MSCR-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MSCR-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCD-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCM-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCM-641,"Choral Literature III","2.0 units",Lecture,8:00-9:50am,Thursday,"Cristian Grases",Music,good,5.0
MUCM-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCM-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCM-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCM-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Cristian Grases",Music,good,5.0
MUCO-538a,"Analytical Approaches to Post-Tonal Music from 1908-1950","2.0 units",Lecture,10:00-11:50am,Monday,"Brian Head",Music,good,3.5
MUEN-505,"Vocal Jazz Ensemble","1.0 unit",Lecture,4:00-5:50pm,"Mon, Wed","Sara Gazarek",Music,zero,N/A
MUEN-510,"University Concert Choir","1.0 units, max 4",Lecture,2:00-3:50pm,TuThF,"Cristian Grases",Music,good,5.0
MUEN-550,"Early Music Ensemble","1.0 units, max 4",Lecture,2:00-4:50pm,"Tue, Thu","Rotem Gilbert",Music,average,3.4
MUHL-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-585,"Special Studies in Baroque Music","2.0 units, max 6",Lecture,12:00-1:50pm,Wednesday,"Rotem Gilbert",Music,average,3.4
MUHL-590,"Directed Research","1.0-12.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-594a,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Adam Gilbert",Music,good,5.0
MUHL-594b,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Adam Gilbert",Music,good,5.0
MUHL-594z,"Master's Thesis","0.0 units",Lecture,TBA,TBA,"Adam Gilbert",Music,good,5.0
MUHL-790,Research,"1.0-12.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-794a,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUHL-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Bruce Brown",Music,good,3.7
MUIN-270,"Introduction to the Music Industry","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Andrae Alexander",Music,good,5.0
MUIN-360,"Introduction to Music Law","4.0 units",Lecture,6:00-7:50pm,"Tue, Thu","Mark Goldstein",Music,good,3.8
MUIN-370,"Music Publishing and Licensing","2.0 units",Lecture,6:00-7:50pm,Wednesday,"Andrae Alexander",Music,good,5.0
MUIN-445,"International Music Industry","4.0 units",Lecture,8:00-9:50pm,"Tue, Thu","Mark Goldstein",Music,good,3.8
MUIN-450,"Practicum in Music Industry Issues (Internship)","2.0-4.0 units, max 8",Lecture,12:00-1:50pm,Friday,"Mark Goldstein",Music,good,3.8
MUIN-498b,"Final Capstone Project","1.0 unit",Lecture,TBA,TBA,"Michael Garcia",Music,good,4.8
MUIN-530,Mentorship,"1.0 unit",Lecture,TBA,TBA,"Michael Garcia",Music,good,4.8
MUIN-598,Internship,"1.0 units, max 4",Lecture,TBA,TBA,"Mark Goldstein",Music,good,3.8
MUSC-498x,"Internship in Music","1.0-4.0 units, max 8",Lecture,TBA,TBA,"Brian Head",Music,good,3.5
MUSC-598,"Internship in Music","1.0-4.0 units, max 4",Lecture,TBA,TBA,"Brian Head",Music,good,3.5
MUSC-798,"Internship in Music","1.0-4.0 units, max 4",Lecture,TBA,TBA,"Brian Head",Music,good,3.5
MUSC-800,"Studies for the Qualifying Examination in Music","0.0 units",Lecture,TBA,TBA,"Brian Head",Music,good,3.5
NURS-500,"Bridge Course","2.0 units",Lecture,10:00-12:00pm,Wednesday,"Christa Bancroft","Biological Sciences",good,4.4
NURS-603,"Transforming Research Evidence into Practice","3.0 units",Lecture,11:00-12:15pm,Wednesday,"Kathleen Becker",Nursing,average,3.3
NURS-604,"Clinical Practicum: Management of Adult Patients with Comple","3.0 units",Lecture,1:00-2:00pm,Wednesday,"Kathleen Becker",Nursing,average,3.3
OS-512,"Introduction to Chemical and Physical Oceanography","4.0 units",Lecture,10:00-11:50am,"Wed, Fri","Seth John","Earth Science",good,5.0
OT-560,"Contemporary Issues in School-Based Practice","4.0 units",Lecture,3:30-7:40pm,Friday,"Janet Gunter","Occupational Therapy",zero,N/A
OT-686,Residency,"6.0-12.0 units, max 24",Lecture,TBA,TBA,"Sarah Bream","Occupational Therapy",good,4.0
PHYS-153L,"Fundamentals of Physics III: Optics and Modern Physics","4.0 units",Lecture,9:00-9:50am,MWF,"Christopher Gould",Physics,poor,2.3
PHYS-162L,"Advanced Principles of Physics II","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Gene Bickers",Physics,good,4.8
PHYS-172L,"Applied Physics II: Electricity, Magnetism and Optics","4.0 units",Lecture,10:00-10:50am,"Mon, Wed","Stephan Haas",Science,good,4.5
PHYS-408a,"Electricity and Magnetism","4.0 units",Lecture,10:00-11:20am,MWF,"Rosa Di Felice","Physics & Astronomy",poor,2.0
PHYS-492L,"Senior Lab","4.0 units",Lecture,1:00-1:50pm,"Tue, Thu","Jack Feinberg",Physics,good,4.3
PHYS-508b,"Advanced Electricity and Magnetism","3.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Clifford Johnson","Physics & Astronomy",zero,N/A
PM-517a,"Research Methods in Epidemiology","4.0 units",Lecture,9:30-12:30pm,Monday,"Victoria Cortessis","Health Science",good,5.0
PM-537,"Chronic Disease Epidemiology","4.0 units",Lecture,2:00-6:00pm,Monday,"Victoria Cortessis","Health Science",good,5.0
POIR-620,"American Politics and Policy Processes","4.0 units",Lecture,2:00-4:50pm,Monday,"Ann Crigler","Political Science",average,3.0
PPD-509,"Problems and Issues in the Health Field","4.0 units",Lecture,6:00-9:20pm,Wednesday,"Howard Greenwald","Not Specified",good,3.8
PPD-542,"Policy and Program Evaluation","4.0 units",Lecture,TBA,TBA,"Howard Greenwald","Not Specified",good,3.8
PPD-706,"Research Design","4.0 units",Lecture,2:00-5:20pm,Monday,"Nicole Esparza","Policy Planning & Development",average,3.0
PPD-716,"Econometrics for Policy, Planning and Management I","4.0 units",Lecture,2:00-5:20pm,Monday,"Nicolas Duquette",Economics,good,3.9
PR-428,"Social, Legal and Ethical Foundations of Public Relations","4.0 units",Lecture,2:00-5:20pm,Thursday,"Susan Gavigan",Journalism,good,5.0
PSYC-290x,"Supervised Research in Psychology","2.0-4.0 units, max 8",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-301L,"Cognitive Processes","4.0 units",Lecture-Lab,10:00-11:50am,"Tue, Thu","Canan Ipek",Psychology,good,4.0
PSYC-304L,"Sensation and Perception","4.0 units",Lecture-Lab,12:00-1:50pm,"Tue, Thu","Ernest Greene",Psychology,average,3.0
PSYC-316L,"Non-Experimental Research Methods","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Canan Ipek",Psychology,good,4.0
PSYC-353g,"Close Relationships","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Miranda Barone",Psychology,good,3.9
PSYC-353g,"Close Relationships","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Miranda Barone",Psychology,good,3.9
PSYC-353g,"Close Relationships","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Miranda Barone",Psychology,good,3.9
PSYC-355,"Social Psychology","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Miranda Barone",Psychology,good,3.9
PSYC-360,"Abnormal Psychology","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Leslie Berntsen",Psychology,good,5.0
PSYC-434,"Intelligence, Problem Solving and Creativity","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","William Breland",Psychology,average,3.0
PSYC-452,"Social Neuroscience","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Leor Hackel",Psychology,good,4.0
PSYC-459,"Industrial/Organizational Psychology","4.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Miranda Barone",Psychology,good,3.9
PSYC-464,"Psychology of Marriage and the Family","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Patricia George",Psychology,good,3.5
PSYC-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-523,"User Experience (UX) Research","4.0 units",Lecture,TBA,TBA,"Jason Buhle",Psychology,zero,N/A
PSYC-594b,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-594z,"Master's Thesis","0.0 units",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PSYC-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Antoine Bechara",Psychology,good,4.2
PTE-500,"Computational Reservoir Modeling","3.0 units",Lecture,3:30-6:10pm,Tuesday,"Jincai Chang",Engineering,zero,N/A
PTE-507,"Engineering and Economic Evaluation of Subsurface Reservoirs","3.0 units",Lecture,5:00-7:40pm,Thursday,"Jincai Chang",Engineering,zero,N/A
QBIO-430,"Principles and Applications of Systems Biology","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Stacey Finley",Engineering,average,2.9
RED-362,"Real Estate Development Fundamentals","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","Jorge De la Roca","Policy Planning  Development",average,3.2
RED-362,"Real Estate Development Fundamentals","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","Jorge De la Roca","Policy Planning & Development",poor,1.2
RED-375,"Real Estate Development Analysis","4.0 units",Lecture,12:00-1:50pm,"Mon, Wed","Moussa Diop","Policy Planning & Development",poor,2.0
SLL-340,"Intercultural Communication in Russian","4.0 units",Lecture,TBA,TBA,"Tatiana Akishina",Languages,good,4.5
SLL-523x,"Methods of Teaching Russian as a Foreign Language","2.0 units",Lecture,TBA,TBA,"Tatiana Akishina",Languages,good,4.5
SOWK-608,"Research and Critical Analysis for Social Work with Children and Families","3.0 units",Lecture,4:00-5:15pm,Monday,"Leah Hanzlicek","Social Work",good,4.1
SOWK-630,"Diversity, Social Justice, and Culturally Competent Social W","3.0 units",Lecture,8:00-9:15am,Tuesday,"Wanda Jewell","Social Work",good,4.5
SOWK-637,"Assessing Wellness to Improve Recovery in Integrated Care","3.0 units",Lecture,10:15-11:30am,Monday,"David Bringhurst","Social Work",good,4.3
SOWK-638,"Policy in Integrated Care","3.0 units",Lecture,10:15-11:30am,Monday,"Karra Bikson","Social Work",good,4.4
SOWK-641,"Clinical Practice with Service Members and Veterans","3.0 units",Lecture,10:15-11:30am,Tuesday,"Kim Finney","Social Work",good,3.8
SOWK-650,"Military and Veteran Policy and Program Management","3.0 units",Lecture,7:00-8:15am,Wednesday,"Jacqueline Garrick","Social Work",poor,1.0
SOWK-651,"Clinical Psychopharmacology for Social Workers","3.0 units",Lecture,10:15-11:30am,Monday,"Kim Finney","Social Work",good,3.8
SOWK-698b,"Integrative Learning for Advanced Social Work Practice","1.0 unit",Lecture,7:00-8:15am,Monday,"Jill Davis","Social Work",good,5.0
SOWK-699a,"Advanced Applied Learning in Field Education","4.0 units",Lecture,TBA,TBA,"Kim Goodman","Social Work",average,2.8
SOWK-704,"Strategic Innovations for the Grand Challenges","3.0 units",Lecture,5:00-7:00pm,Tuesday,"Harry Hunter","Social Work",good,4.4
SOWK-707,"Financial Management for Social Change","3.0 units",Lecture,5:00-7:00pm,Tuesday,"Juan Araque","Social Work",good,4.4
SOWK-714,"Executive Leadership: Leaders as Maestros","3.0 units",Lecture,5:00-7:00pm,Monday,"Cassandra Fatouros","Social Work",good,5.0
SOWK-722,"Implementing Your Capstone and Re-envisioning Your Career","3.0 units",Lecture,5:00-7:00pm,Monday,"Juan Araque","Social Work",good,4.4
SOWK-723,"Design Laboratory for Social Innovation II","3.0 units",Lecture,5:00-7:00pm,Tuesday,"Cassandra Fatouros","Social Work",good,5.0
SOWK-724,"Residency II","3.0 units",Lecture,TBA,TBA,"Juan Araque","Social Work",good,4.4
SPAN-270,"Spanish for Heritage Speakers","4.0 units",Lecture,6:00-7:20pm,"Mon, Wed","Vianey Cabrera","Spanish & Portuguese",good,4.8
SPAN-280x,"Conversational Spanish","2.0 units, max 4",Lecture,12:00-1:50pm,Monday,"Vianey Cabrera","Spanish & Portuguese",good,4.8
SPAN-302,"Screen Cultures: From Film to the Internet","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Julian Gutierrez-Albilla","Spanish & Portuguese",good,4.9
SPAN-310,"Structure of Spanish","4.0 units",Lecture,9:30-10:50am,"Tue, Thu","Marianna Chodorowska-Pilch","Spanish & Portuguese",good,4.2
SPAN-321,"Sounds, Images, Objects","4.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Ivette Gomez","Spanish & Portuguese",good,4.5
SWMS-311,"Gender and Sexuality Studies: Internship","2.0-8.0 units, max 8",Lecture,TBA,TBA,"Diana Blaine",Writing,good,4.3
SWMS-410,"Senior Seminar in Gender and Sexuality Studies","4.0 units",Lecture,2:00-4:50pm,Tuesday,"Alice Echols",Music,good,4.3
SWMS-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Diana Blaine",Writing,good,4.3
THTE-201aL,"Acting for Musical Theatre","2.0 units",Lecture,2:00-3:50pm,"Mon, Wed","Laura Flanagan",Theatre,good,4.8
THTR-120aL,"Acting I","2.0 units",Lecture,8:00-9:50am,"Tue, Thu","Anita Dashiell-Sparks",Theater,good,4.2
THTR-240a,"Voice II","2.0 units",Lecture,10:00-11:50am,"Tue, Thu","Laura Flanagan",Theatre,good,4.8
THTR-252a,"Intermediate Acting I: American Drama","2.0 units",Lecture,11:00-12:50pm,"Mon, Wed","John De Mita",Theatre,good,4.0
THTR-312,"LGBTQ Theatre","4.0 units",Lecture,8:00-9:50am,"Tue, Thu","Boni Alvarez",Theatre,zero,N/A
THTR-314,"Advanced Topics in Modern Drama","4.0 units",Lecture,4:00-5:50pm,"Tue, Thu","Melinda Finberg",Theatre,poor,2.3
THTR-320a,"Intermediate Acting II","2.0 units",Lecture,10:00-11:50am,"Mon, Wed","Anita Dashiell-Sparks",Theater,good,4.2
THTR-342b,"Basic Voice","2.0 units",Lecture,12:00-1:20pm,"Mon, Wed","Laura Flanagan",Theatre,good,4.8
THTR-404,"Acting Theory","4.0 units",Lecture,2:00-3:50pm,"Tue, Thu","Sharon Carnicke",Theater,average,3.4
THTR-409,"Advanced Drafting: Vectorworks","3.0 units",Lecture,2:00-4:50pm,Wednesday,"Josh Epstein",Theatre,good,5.0
THTR-433a,"Costume Design II","3.0 units",Lecture,2:00-4:50pm,Thursday,"Terry Gordon",Theatre,poor,1.0
THTR-436,"Sound for Theatre","3.0 units",Lecture,1:30-4:20pm,Monday,"Phil Allen",Theatre,average,3.0
THTR-452a,"Advanced Acting","4.0 units",Lecture,3:00-4:50pm,"Tue, Thu","John De Mita",Theatre,good,4.0
THTR-456,"Latinx Theatre","4.0 units",Lecture,10:00-11:50am,"Tue, Thu","Boni Alvarez",Theatre,zero,N/A
ACAD-203,Statics,"3.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Oussama Safadi",Engineering,good,4.2
ACAD-204,"Strength of Materials","3.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Oussama Safadi",Engineering,good,4.2
ACAD-301,Dynamics,"3.0 units",Lecture,8:00-8:50am,MWF,"Geoffrey Shiflett",Engineering,poor,2.2
ACAD-341,"Android App Development","4.0 units",Lecture,6:00-7:50pm,"Mon, Wed","Bennett Lee","Computer Science",good,4.6
ACAD-425,"Web Application Security","4.0 units",Lecture-Lab,5:00-8:50pm,Tuesday,"Andy Portillo","Computer Science",zero,N/A
ACCT-370,"External Financial Reporting Issues","4.0 units",Lecture,10:00-11:50am,"Mon, Wed","Smrity Randhawa",Accounting,good,4.2
ACCT-373,"Introduction to Auditing and Assurance Services","2.0 units",Lecture,8:00-9:50am,"Mon, Wed","Rose Layton",Accounting,poor,2.4
ACCT-374,"Introduction to Tax Issues","2.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Greg Kling",Accounting,average,3.3
ACCT-416,"Financial Reporting and Analysis","2.0 units",Lecture,10:00-11:50am,"Mon, Wed","Greg Kling",Accounting,average,3.3
ACCT-470,"Advanced External Financial Reporting Issues","4.0 units",Lecture,12:00-1:50pm,"Tue, Thu","Herbert Perlmutter",Accounting,good,4.0
ACCT-473,"Financial Statement Auditing","2.0 units",Lecture,10:00-11:50am,"Mon, Wed","Rose Layton",Accounting,poor,2.4
ACCT-549,"Advanced Enterprise Systems and Technologies","3.0 units",Lecture,9:30-10:50am,"Mon, Wed","Daniel O'Leary",Accounting,average,2.8
ACCT-585,"Professional Responsibilities in Accounting","3.0 units",Lecture,8:00-9:20am,"Mon, Wed","Lori Smith",Accounting,average,3.0
ACCT-595,"Internship in Accounting","0.5-3.0 units, max 9",Lecture,TBA,TBA,"Shirley Maxey",Accounting,good,3.9
ACCT-615,"Financial Reporting Research","1.5 units",Lecture,3:00-5:50pm,Wednesday,"Maria Ogneva",Accounting,good,4.8
AHIS-400x,"Undergraduate Apprenticeship","2.0 units, max 4",Lecture,TBA,TBA,"Hector Reyes","Art History",good,4.3
AHIS-495b,"Undergraduate Honors Thesis","2.0 units",Lecture,TBA,TBA,"Hector Reyes","Art History",good,4.3
AME-201,Statics,"3.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Oussama Safadi",Engineering,good,4.2
AME-204,"Strength of Materials","3.0 units",Lecture,2:00-3:20pm,"Mon, Wed","Oussama Safadi",Engineering,good,4.2
AME-301,Dynamics,"3.0 units",Lecture,8:00-8:50am,MWF,"Geoffrey Shiflett",Engineering,poor,2.2
AME-305,"Mechanical Design","3.0 units",Lecture,2:00-3:20pm,"Tue, Thu","Oussama Safadi",Engineering,good,4.2
AME-310,"Engineering Thermodynamics I","3.0 units",Lecture,10:00-11:50am,"Mon, Wed","Anita Penkova",Engineering,average,3.0
AME-459,"Flight Mechanics","3.0 units",Lecture,4:00-6:50pm,Thursday,"Kamal Shweyk",Engineering,zero,N/A
AME-490x,"Directed Research","1.0-8.0 units, max 12",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-527,"Elements of Vehicle and Energy Systems Design","3.0 units",Lecture,6:40-9:20pm,Wednesday,"David Lazzara",Engineering,poor,1.0
AME-550,"Seminar in Aerospace and Mechanical Engineering","1.0 units, max 3",Lecture,3:30-4:50pm,Wednesday,"Niema Pahlevan",Engineering,zero,N/A
AME-594a,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-594b,"Master's Thesis","2.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-594z,"Master's Thesis","0.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-794a,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-794b,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-794c,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-794d,"Doctoral Dissertation","2.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AME-794z,"Doctoral Dissertation","0.0 units",Lecture,TBA,TBA,"Paul Ronney",Engineering,average,3.1
AMST-500,"Introduction to American Studies and Ethnicity","4.0 units",Lecture,5:00-7:30pm,Monday,"John Rowe",English,average,3.1
ANTH-405,"Evolutionary Medicine","4.0 units",Lecture,12:30-1:50pm,"Tue, Thu","Gioia Polidori",Kinesiology,good,5.0
ARCH-214bg,"World History of Architecture","3.0 units",Lecture,4:30-5:50pm,"Tue, Thu","Susanna Seierup",Architecture,good,4.5
ARCH-214bg,"World History of Architecture","3.0 units",Lecture,4:30-5:50pm,"Tue, Thu","Susanna Seierup",Architecture,good,4.5
