First Name,Last Name,Department,Rating Class,Overall Rating
Joseph,Dane,English,good,4.0
Tiffany,Daniel,Arts & Letters,poor,2.0
David,Daniel,Journalism,good,4.5
Gregg,Daniel,Theatre,good,5.0
Martin,Daniel,Cinema,good,5.0
Mary,Daniels,Writing,average,2.5
Jeremy,Dann,Business,good,5.0
Jed,Dannenbaum,Film,poor,2.0
Sandra,Daoust,Mathematics,good,3.6
Werner,Dappen,Physics,good,4.3
Azure,Darby,Social Work,average,3.0
Nikki,Darling,Writing,good,4.1
Nicole,Darling,Writing,good,4.8
Scott,Darrell,Social Work,good,4.7
Diego,Daruich,Economics,poor,1.9
Aninda,Das,Medicine,good,5.0
Anita,Dashiell-Sparks,Theater,good,4.2
Monique,Datta,Education,good,3.8
Minni,Datta,Social Work,poor,1.0
Joel,David,Economics,average,3.1
April,Davidauskis,Writing,average,3.4
Ruben,Davila,Accounting,average,3.4
Gregory,Davis,Geology,average,3.0
Mary Ann,Davis,English,average,3.1
Jill,Davis,Social Work,good,5.0
Rita,Davis,Social Work,average,3.3
Elizabeth Autumn,Davis,Social Work,good,4.5
Heather,Davis,Education,good,5.0
Tyler,Davis,Engineering,average,3.3
Laura,Davis,Journalism,poor,2.3
Almease,Davis Byrd,Social Work,good,5.0
Gerald,Davison,Psychology,average,3.3
Andrew,Daw,Business,good,3.5
Marcia,Dawkins,Communication,good,3.9
Jahan,Dawlaty,Chemistry,good,5.0
Mike,Dawson,Psychology,poor,2.2
Mariko,Dawson Zare,Writing,average,3.2
Nik,De Dominic,Writing,good,4.4
Mark,De Fond,Accounting,good,4.5
Ronald,De Jesus,Spanish amp Portuguese,good,4.7
Kayla,de la Haye,Medicine,poor,1.0
Ricardo,De La O,Business,poor,1.5
Jorge,De La Roca,Policy Planning  Development,average,3.2
Jorge,De La Roca,Policy Planning & Development,poor,1.2
Vivian,De la Rosa,Social Work,average,3.0
Juan,De Lara,American Studies,good,3.5
Adrian,De Leon,American Studies,good,5.0
John,De Mita,Theatre,good,4.0
Andrew,De Silva,Writing,good,4.8
Jae,Deal,Music,good,4.3
Pat,Dean,Communication,poor,1.2
Matthew,Dean,Biological Sciences,average,3.0
Harry,Deangelo,Finance,good,4.7
Michael,Dear,Geography,average,2.8
Wilhelmina,Decastro,Social Work,good,4.0
Nicholas,DeDominic,Writing,good,5.0
Morteza,Dehghani,Psychology,good,4.0
Robert,Dekle,Economics,average,2.6
Richard,Dekmejian,Political Science,average,3.3
Gene,Del Vecchio,Marketing,good,5.0
Roberto,Delgado,Anthropology,average,3.3
Carlos,Delgado,Writing,good,4.8
Carlos,Delgado,English,good,4.5
Debra,Deliso,Theater,good,4.5
Carla,Della Gatta,Theatre,good,4.1
Myron,Dembo,Psychology,average,3.0
Joannaa,Demers,Music,good,4.7
Margarita,Denenburg,Music,good,4.8
Patrick,Dent,Engineering,good,4.8
Dariush,Derakhshani,Cinema,good,4.0
Grant,Derderian,Information Science,good,5.0
Joshua,Derenski,Business,good,5.0
Neal,Desby,Music,good,4.3
Jyotirmoy,Deshmukh,Computer Science,good,4.0
Maged,Dessouky,Engineering,average,2.5
William,Deverell,History,good,3.7
Stephanie,Dewing,Education,good,5.0
Arthur,Dhallin,Information Science,good,4.5
Kiran,Dhillon,Communication,good,4.6
Allyson,Dhindsa,Policy Planning & Development,good,5.0
Rosa,Di Felice,Physics & Astronomy,poor,2.0
Vittoria,Di Palma,Architecture,poor,1.0
Vincent,Diamante,Cinema,good,4.2
Roberto,Diaz,Spanish & Portuguese,good,4.1
Jonathan,Diaz,Writing,average,2.6
Kathryn,Dickason,Humanities,good,5.0
Patricia,Dickenson,Education,good,5.0
Dion,Dickman,Neuroscience,good,3.7
Kristin,Diehl,Marketing,poor,2.4
John,Dietrich,Finance,poor,2.0
Georgi,Dimitrov,Music,good,5.0
Frank,Dimster,Architecture,average,2.6
Pedro,Diniz,Computer Science,good,5.0
Moussa,Diop,Policy Planning & Development,poor,2.0
Ellen,Dipprey,Business,good,3.8
Sandra,Disner,Linguistics,average,3.3
Daniel,Dissinger,Writing,good,4.6
Tam,Do,Mathematics,good,5.0
Zen,Dochterman,Writing,good,4.8
Lynn,Dodd,Religion,good,3.8
Buck,Dodson,Social Work,good,4.6
Kathleen,Doherty,Policy Planning  Development,average,2.8
James,Dolan,Geology,average,3.0
Julian,Domaradzki,Engineering,average,2.9
Janek,Dombrowa,Architecture,good,3.8
Jesus,Dominguez,Physical Therapy,good,5.0
Lacey,Donohue,Writing,good,4.4
Burke,Doug,Physics,poor,1.8
Pamela,Douglas,Cinema,average,2.7
Sharon,Doyle,Cinema,good,5.0
Kerry,Doyle,Social Work,good,5.0
Emmett,Drager,American Studies,good,3.7
John,Drake,Policy Planning & Development,good,5.0
Kimon,Drakopoulos,Business,good,4.8
Jeff,Draper,Engineering,good,5.0
Marijan,Dravinski,Engineering,average,2.6
John,Dreher,Philosophy,average,3.2
Brad,Drew,Mathematics,good,4.2
David,Dreyer,Journalism,good,4.4
Guillaume,Dreyer,Mathematics,average,2.8
Vitaliya,Droutman,Psychology,average,3.0
Michael,Du Plessis,Literature,good,4.2
Jeffrey,Dubin,Economics,average,3.0
Michael,Dubois,Engineering,poor,1.4
Maria,Duggan,Social Work,good,4.0
Shaddin,Dughmi,Computer Science,average,3.0
Anthony,Dukes,Marketing,good,4.0
Miguel,Dumett,Mathematics,average,3.4
Christina,Dunbar-Hester,Communication,average,3.4
Kathleen,Dunn,Theater,good,4.8
Shannon,Dunn,Social Work,good,5.0
Kathleen,Dunn-Muzingo,Theatre,good,4.8
Les,Dunseith,Journalism,good,5.0
Nicolas,Duquette,Economics,good,3.9
Daniel,Durbin,Communication,average,3.2
E. Moncell,Durden,Dance,average,3.3
Seda,Durguner,Economics,good,4.3
Sena,Durguner,Economics,good,4.4
Elizabeth,Durst,English,good,4.4
Nick,Earhart,Writing,good,4.0
Scott,Easley,Computer Science,good,4.5
Joseph,Eastburn,Writing,average,3.2
Richard,Easterlin,Economics,good,4.5
Richard,Eastin,Business,good,3.8
Kenneth,Easwaran,Philosophy,good,4.3
Juan,Eberhard,Economics,average,3.0
Alice,Echols,Music,good,4.3
Suzanne,Edmands,Biology,good,4.0
Jay,Edwards,Writing,good,4.7
George,Edwards,Computer Science,poor,2.3
Susan,Edwards,Social Work,good,4.8
Kevin,Egan,Writing,good,4.9
David,Eggenschwiler,English,good,5.0
Kirstin,Eggers,Theatre,good,4.8
Stephanie,Eggert,Physical Education,good,5.0
Kim,Egglestone,Occupational Therapy,good,4.7
Fokion,Egolfopoulos,Engineering,good,3.8
Alexander,Egyed,Computer Science,good,4.0
Rebecca,Ehrhardt,Writing,good,3.6
Karina,Eileraas,Women's Studies,good,4.2
John,Eklund,Management,good,4.0
Christine,El-Haddad,Business,good,4.5
Moh,El-Naggar,Physics,good,3.9
Katherine,Elder,Communication,good,5.0
Antonio,Elefano,Writing,good,4.8
Nina,Eliasoph,Sociology,average,2.6
Veronica,Eliasson,Engineering,good,4.5
Charla,Elizabeth,Graphic Arts,good,5.0
Jason,Ellenburg,Design,good,4.8
James,Ellern,Chemistry,average,3.0
Jim,Ellis,Business,good,4.8
Lauren,Elmore,Writing,good,4.2
Amon,Emeka,Sociology,good,4.2
Nathaniel,Emerson,Mathematics,good,3.5
Julien,Emile-Geay,Geology,average,3.5
Julie,Emmer,Social Work,good,3.7
Jonathon,Enfield,Writing,good,5.0
Robert,English,International Studies,good,4.4
Michael,Enright,Engineering,average,2.5
Marie,Enright,Spanish & Portuguese,good,4.5
Grant,Entsminger,Social Work,good,5.0
Kyunghee,Eo,English,good,4.0
Jack,"Epps, Jr.",Film,good,5.0
Lee,Epstein,Political Science,good,4.9
Josh,Epstein,Theatre,good,5.0
Elizabeth,Erickson,Chemistry,poor,1.8
David,Erkens,Accounting,average,2.7
Samuel,Erman,Law,good,4.1
Iraj,Ershaghi,Engineering,good,3.6
Peter,Erskine,Music,good,4.5
Zeynep,Ertem,Business,poor,1.4
Daniel,Erwin,Engineering,average,3.0
Maria,Escobedo,Cinema,average,3.0
Mary,Eshaghian-Wilner,Engineering,good,4.0
Gokhan,Esirgen,Physics & Astronomy,poor,1.0
Nicole,Esparza,Policy Planning & Development,average,3.0
Tamara,Espinet,Kinesiology,poor,2.4
Cara,Esposito,Policy Planning  Development,good,5.0
Jonathan Taylor,Esquibel,Computer Science,good,5.0
Emir,Estrada,Sociology,good,4.0
Susan,Estrtich,Law,average,3.0
Philipe,Ethington,History,average,2.9
Margaret ,Evans ,Social Work,average,3.0
Percival,Everett,English,good,4.7
Peter,Exline,Cinema,poor,2.3
Maria Mercedes,Fages Agudo,Spanish,good,4.8
Liz,Falletta,Policy Planning  Development,good,3.7
Yingying,Fan,Information Science,average,3.2
Xianxian,Fang,East Asian Languages,good,4.8
Kirby,Farah,Anthropology,good,4.6
Vincent,Farenga,Classics,average,3.4
Scott,Faris,Theatre,good,5.0
William,Farley,Policy Planning & Development,average,3.0
Cecilia,Farrow,Art History,poor,1.0
Jo Ann,Farver,Psychology,good,4.2
Azin,Farzan,Business,good,3.7
Anna,Farzindar,Computer Science,poor,1.9
Nathanael,Fast,Business,good,4.9
Cassandra,Fatouros,Social Work,good,5.0
Abdolreza,Fazeli,Business,poor,1.9
Linda,Fazio,Health Science,good,4.5
Caley,Feagin,Writing,good,4.8
Sarah,Feakins,Geology,good,3.7
Daniel,Fehder,Business,average,3.0
Jack,Feinberg,Physics,good,4.3
Rachel,Feldman,Cinema,poor,2.2
Jeff,Fellenzer,Journalism,good,4.6
Georgios,Fellouris,Mathematics,average,2.6
Laura,Ferguson,Health Science,good,3.5
TrudI,Ferguson,Business,average,3.4
Holly,Ferguson,Educational Psychology,good,4.8
Allyson,Ferrante,English,good,4.9
Emilio,Ferrara,Computer Science,good,4.9
Kimberly,Ferrario,Education,good,3.6
Marvin,Ferraz,Writing,good,3.7
Ralph,Fertig,Social Work,good,4.1
Sarah,Fetherolf,Writing,average,3.0
Margaret,Fetting,Social Work,good,3.8
William,Feuer,Arts & Letters,good,4.5
William,Feuerborn III,Social Work,good,3.7
Gayle,Fiedler-Vierma,Spanish,good,4.5
Dan,Field,Social Work,good,4.7
Mary,Fielder,Cinema,good,5.0
Clifford Kerry,Fields,Business,good,4.3
Kevin,Fields,Business,good,4.5
Jeffrey,Fields,International Relations,poor,2.5
Tina,Fietsam,Social Work,good,5.0
Ben,Files,Biological Sciences,poor,1.5
Alessio,Filippi,Languages,good,4.8
Melinda,Finberg,Theatre,poor,2.3
Christopher,Findeisen,English,good,4.4
Jud,Fine,Fine Arts,good,4.4
Edward,Finegan,Linguistics,good,4.0
Steven,Finkel,Biological Sciences,good,3.6
Stephen,Finlay,Philosophy,good,4.3
Stacey,Finley,Engineering,average,2.9
Gillian,Finley,Dance,good,5.0
Chris,Finley,American Studies,good,4.8
Kim,Finney,Social Work,good,3.8
Rueven,Firestone,Religion,average,3.2
Reuven,Firestone,Arts  Letters,good,4.7
Christelle,Fischer-Bovet,History,poor,2.4
Dan,Fishbach,Theater,good,4.3
Jay,Fisher,Writing,good,4.9
Lori,Fisher,English,poor,2.3
Laurie,Fisher,Writing,good,4.1
Geraldine,Fiss,East Asian Languages,good,4.3
Peer,Fiss,Business,average,3.3
Laura,Flanagan,Theatre,good,4.8
Carolin,Fleischmann,Business,good,4.4
Quentin,Fleming,Business,good,4.3
Christopher,Fleming,Humanities,good,5.0
Angus,Fletcher,Theater,good,4.8
Robert,Flick,Fine Arts,good,4.9
Richard,Fliegel,Writing,good,4.8
Kate,Flint,Art History,average,3.0
Thomas,Flood,Chemistry,good,3.5
Veronica,Flores,Policy Planning & Development,poor,1.0
Jen,Floto,Journalism,average,3.2
Maggie,Flynn,Writing,good,4.5
Valery,Fokin,Chemistry,good,4.5
Valerie,Folkes,Marketing,good,4.0
Donna,Foote,Business,average,3.0
Amber,Ford,Social Work,good,3.9
Benny,Forer,Engineering,good,4.5
Marco,Formigoni,Social Work,good,4.6
Susan,Forsburg,Biological Sciences,good,5.0
James,Fortney,French & Italian,good,4.5
Jared,Fortune,Engineering,good,4.0
Phillip,Foster,Computer Science,good,5.0
Amber,Foster,Writing,good,3.9
Susanne,Foulk,Education,good,4.0
Richard,Fox,History,good,4.1
Glenn,Fox,Business,good,4.7
Alex,Fraire,Spanish,good,4.3
Gioia,Francisco,Biological Sciences,poor,1.0
Alexandre,Francois,Computer Science,average,2.5
Gelya,Frank,Social Science,good,4.0
William,Frank,Geology,good,3.5
Oliver,Franke,Science,good,3.6
Brandon,Franzke,Engineering,poor,2.4
Pablo,Frasconi,Fine Arts,poor,1.0
Jennifer,Frazier,Writing,good,5.0
Taj,Frazier,Communication,good,3.7
Gary,Frazier,Business,poor,2.0
Chrislynn,Freed,Accounting,good,4.1
Christopher,Freeman,Arts & Letters,good,4.7
Kimberly,Freeman,Policy Planning & Development,average,2.5
Celeste,Fremon,Journalism,average,2.8
Niels,Frenzen,Law,average,3.3
Susan,Friedlander,Mathematics,average,3.0
Cary,Frydman,Business,good,4.1
Jamie,Fudacz,Spanish,good,4.7
Jesus,Fuentes,Dance,good,4.8
Jed,Fuhrman,Biology,good,3.5
Jed,Fuhrman,Biological Sciences,average,3.0
Parmer,Fuller,Music,good,4.0
Andrew,Fuller,Physical Education,good,5.0
Jason,Fulman,Mathematics,average,2.9
Xavier,Fumat,Fine Arts,good,5.0
Alice,Fung,Design,average,3.0
Martin,Fusi,Theater,average,3.3
Mendel,Fygenson,Business,poor,2.4
Robertas,Gabrys,Business,average,2.6
Laura,Gale,Social Work,good,4.9
Lorena,Gallego,Spanish & Portuguese,good,4.5
Susan,Gallego,Social Work,poor,1.2
Kathleen Alice,Gambrell,Not Specified,good,4.5
Elaine,Gan,Sociology,poor,1.0
Sheel,Ganatra,Mathematics,good,3.5
Harsha,Gangammanavar,Engineering,poor,1.7
Yuan,Gao,Mathematics,poor,1.2
Jesus,Garcia,French  Italian,good,4.9
Jesse,Garcia,French  Italian,good,5.0
Michael,Garcia,Music,good,4.8
Selenne,Garcia-Torres,Mathematics,poor,2.1
Robert,Gardner,Cinema,good,3.5
Tony,Gardner,Cinema,good,5.0
Sherilyn,Garnett,Law,good,4.5
Jacqueline,Garrick,Social Work,poor,1.0
Miranda,Garrison,Dance,good,5.0
Thomas,Garrison,Anthropology,good,4.2
Tom,Garrison,Anthropology,good,4.5
Joshua,Garroway,Religion,good,4.6
Kristine,Garroway,Arts & Letters,good,4.7
Andrew,Garver,Music,good,3.7
Bonnie,Garvin,Cinema,poor,2.0
Margaret,Gatz,Psychology,good,5.0
Susan,Gavigan,Journalism,good,5.0
Dikla,Gavrieli,Policy Planning & Development,good,5.0
Stacy,Geck,Business,good,3.8
Howard,Geltzer,Business,good,3.7
Penelope,Geng,English,good,4.7
Jason,Geng,Business,poor,1.0
Michelle,Gentle,Social Work,good,5.0
S. Michael,Genzuk,Education,good,4.2
Stephanie,George,Social Work,good,4.5
Patricia,George,Psychology,good,3.5
Brieuc,Gerard,French & Italian,good,4.2
David,Gerber,Architecture,average,2.6
Spencer,Gerhardt,Mathematics,poor,2.2
Kim,Getty,Journalism,average,2.7
Shahram,Ghandeharizadeh,Computer Science,average,2.9
Roger,Ghanem,Engineering,poor,2.2
Zeina,Ghazzaoui,Writing,good,3.8
Raffaella,Ghittoni,Biological Sciences,good,4.0
Massoud,Ghyam,Computer Science,average,3.0
Marco,Giacoletti,Finance,good,4.5
Gerald,Giaquinta,Business,good,3.9
Jeremy,Gibbs,Social Work,good,4.0
Stephen,Gibler,Cinema,good,4.0
Shannon,Gibson,International Relations,average,3.3
Jeremy,Gibson,Design,good,5.0
Sarah,Gibson,Music,good,4.5
Amy,Giesler,Social Work,good,3.8
Yehuda,Gilad,Music,good,5.0
Rotem,Gilbert,Music,average,3.4
Adam,Gilbert,Music,good,5.0
Elizabeth,Gill-Brauer,Film,good,5.0
Sharon,Gillerman,History,good,3.9
Ryan,Gillespie,Communication,good,4.5
Esther,Gillies,Social Work,good,4.2
Matthew,Gilpin,Engineering,good,4.2
Tamika,Gilreath,Social Work,average,3.0
David,Ginsburg,Environmental Studies,good,4.0
Dana,Gioia,Writing,good,4.4
Brooklyne,Gipson,Communication,good,5.0
Bob,Girandola,Kinesiology,average,3.0
Rahul,Giri,Economics,average,2.6
Marie,Gironda,Education,poor,1.0
Todd,Gish,Policy Planning & Development,average,3.5
Genevieve,Giuliano,Policy Planning & Development,average,2.7
Paul,Giuliano,Engineering,good,5.0
Lori,Glasgow,Policy Planning & Development,good,4.6
Karen,Glasgow,Education,poor,1.0
Anastasia,Glasheen,Music,good,3.8
Wayne,Glass,International Studies,good,3.8
Mary,Glavan,Writing,good,5.0
Joshua,Glazer,Computer Science,good,5.0
Paul,Gleason,Religion,good,5.0
Jason,Glenn,History,average,3.0
Deborah,Glynn,Business,good,3.5
Stacy,Gnall,Writing,good,5.0
G. Clinton,Godart,History,good,4.3
Maura,Godinez,International Studies,good,4.7
Carlos,Godoy,Communication,good,4.8
Rochelle,Gold,Writing,good,4.8
Jeremy,Goldbach,Social Work,good,5.0
Eric,Goldberg,Cinema,good,5.0
Jill,Goldsmith,Cinema,good,4.0
Mark,Goldstein,Music,good,3.8
Larry,Goldstein,Mathematics,average,2.7
Joshua,Goldstein,History,good,4.0
Louis,Goldstein,Linguistics,good,3.7
Bonnie,Goldstein,Social Work,good,4.5
Stacie,Goldstein,Social Work,good,3.5
Lynne,Golfarb,Education,good,5.0
Brandon,Golob,Communication,good,5.0
Sol,Golomb,Mathematics,average,2.5
Leana,Golubchik,Computer Science,poor,1.4
Jose,Gomez,Political Science,good,4.8
Ivette,Gomez,Spanish & Portuguese,good,4.5
Macarena,Gomez-Barris,Sociology,average,2.8
Ray,Gonzales,Policy Planning  Development,average,2.9
David-James,Gonzales,American Studies,good,4.7
Denise,Gonzalez,Political Science,average,3.3
Iris,Gonzalez-Thrash,Social Work,good,4.3
Edward,Goo,Engineering,average,2.8
Keith,Goodfellow,Engineering,good,4.8
Brenda,Goodman,Film,good,4.9
Steven,Goodman,Biological Sciences,good,3.5
Jeremy,Goodman,Philosophy,average,2.8
Myron,Goodman,Biological Sciences,poor,2.0
Kim,Goodman,Social Work,average,2.8
Andrew,Goodney,Computer Science,good,3.6
Margaret,Goodspeed,Cinema,poor,1.0
Ian,Goodwin,Cinema,good,4.5
Michael,Goran,Health Science,good,3.5
Alexander ,Gorbenko,Business,good,3.5
Scott,Gorden,Cinema,good,5.0
Peter,Gordon,Economics,poor,2.0
Stuart,Gordon,Music,good,4.5
Michelle,Gordon,Arts & Letters,good,4.6
Alan,Gordon,Social Work,good,4.7
Terry,Gordon,Theatre,poor,1.0
Brett,Gordon,Writing,average,2.5
Amanda,Gorman,Philosophy,good,5.0
William,Gorski,Writing,good,3.8
Dr. Stuart,Gothold,Education,good,4.1
Christopher,Gould,Physics,poor,2.3
Serena,Gould,Education,good,4.0
Nitin,Govil,Cinema,good,3.7
Ramesh,Govindan,Computer Science,good,4.5
Vinay,Goyal,Engineering,good,5.0
Andrew,Gracey,Biology,average,2.9
Alexandra,Graddy-Reed,Policy Planning  Development,average,3.4
Erin,Graff Zivin,Spanish & Portuguese,good,4.0
Jesse,Graham,Psychology,good,4.7
Benjamin,Graham,International Relations,good,3.5
John,Gramuglia,Social Work,good,4.7
Amy,Granados,Communication,average,2.8
Bob,Grandola,Science,good,3.5
Theresa,Granger,Nursing,poor,2.0
Cristian,Grases,Music,good,5.0
Jayson,Grassi,Mathematics,good,5.0
Todd,Greco,Physical Education,good,5.0
Lawrence,Green,English,average,3.3
Phyllis,Green,Fine Arts,good,4.5
Sandy,Green,Business,good,4.9
Trudy,Green,Music,poor,2.3
Karen,Green,Social Work,good,5.0
Ernest,Greene,Psychology,average,3.0
Joseph,Greenfield,Engineering,good,4.7
Sonia,Greenfield,English,good,4.0
Nathan,Greenfield,Computer Science,good,4.3
Jennifer,Greenhill,Art History,good,5.0
Howard,Greenwald,Not Specified,good,3.8
Naomi,Greenwald,Writing,good,4.4
Trina,Gregory,Information Science,good,4.0
Tim,Greiving,Music,good,5.0
Paulina,Grey,Computer Science,good,5.0
Devin,Griffiths,Arts & Letters,good,4.0
Mark,Griffiths,Business,poor,2.4
D Sabela,Grimes,Dance,good,4.5
Christian,Grose,Political Science,good,4.3
Elissa,Grossman,Business,good,4.5
Derek,Grossman,International Relations,good,5.0
Alicia,Grosso,Theater,average,3.5
Ron,Grover,Journalism,good,5.0
Tara,Gruenewald,Gerontology,good,4.9
Olivera,Grujic,Computer Science,poor,1.6
Lessa,Grunenfelder,Engineering,good,4.6
Wolf,Gruner,History,good,4.3
Sandra,Gruner-Domic,Sociology,poor,1.8
Mike,Gruntman,Engineering,good,4.0
Joe,Guada,Social Work,good,4.5
Sarah,Gualtieri,History,good,4.3
Elena,Guerzoni,Linguistics,good,3.5
Jeff,Guh,Architecture,good,4.2
Anthony,Guida,Architecture,good,4.2
Sherin,Guirguis,Design,average,2.9
Martin,Gundersen,Engineering,average,2.5
Sule,Guney,Psychology,good,3.5
William,Gunn,Theatre,good,3.6
Yijia Veronica,Guo,Communication,average,3.0
Sandeep,Gupta,Engineering,good,4.2
Chinmaya,Gupta,Mathematics,average,3.2
Vishal,Gupta,Business,good,4.2
Shalini,Gupta,Engineering,poor,2.4
Robert,Guralnick,Mathematics,poor,1.9
Vyaas,Gururajan,Engineering,good,5.0
Thomas,Gustafson,English,good,3.9
Charles,Gutierrez,Music,good,4.5
Julian,Gutierrez-Albilla,Spanish & Portuguese,good,4.9
Felix,Guttierez,Journalism,good,3.6
Stephan,Haas,Science,good,4.5
Christina,Haatainen-Jones,Theatre,good,5.0
Farida,Habeeb,Writing,good,4.5
Michael,Habib,Medicine,good,4.8
Thomas,Habinek,Languages,good,3.8
Leor,Hackel,Psychology,good,4.0
Joseph,Hacker,Theater,good,4.4
Mark,Haddad,Law,good,4.4
Gillian,Hadfield,Law,average,2.8
Michael,Hadjidaniel,Biological Sciences,poor,2.0
Aaron,Hagedorn,Gerontology,good,4.4
Linda,Hagen,Marketing,good,3.9
Ashley,Hagen,Fine Arts,good,4.0
Richard,Hagy,Policy Planning & Development,good,5.0
Anahit,Hakoupian,Languages,good,4.6
Judith,Halberstam,English,good,3.7
Justin,Haldar,Engineering,good,5.0
William,Halfond,Computer Science,poor,1.4
Don,Hall,Cinema,good,5.0
Michael,Hall,Mathematics,good,4.3
Heather,Halperin,Social Work,poor,1.0
Emilie,Halpern,Fine Arts,good,4.6
Karen,Halttunen,History,good,4.0
Takeshi,Hamagaki,Theater,good,3.5
Annie,Hamamchian,Social Work,good,5.0
Yasushi,Hamao,Business,poor,1.5
Kam,Hamidieh,Business,good,4.6
Fayez,Hammad,Political Science,good,4.0
Jeff,Hammer,Cinema,good,4.0
Doug,Hammond,Geology,average,2.9
Christian,Hammons,Anthropology,average,2.5
Ange-Marie,Hancock,Political Science,poor,2.3
Ange-Marie,Hancock Alfaro,"Gender, Women, & Sexuality Studies",poor,1.5
Bill,Handley,English,good,3.8
Gary,Hankins,Marketing,good,3.8
Jamila,Hankins,Social Work,good,4.9
Clark,Hansen,Writing,average,3.0
Eric,Hanson,Cinema,good,5.0
Leah,Hanzlicek,Social Work,good,4.1
Sara,Haq,Gender & Sexualty Studies,good,4.4
Faith,Harden,Spanish,good,5.0
Deborah,Harkness,History,good,3.8
Jason,Harley,Reading,good,5.0
Jason,Harley,Social Work,good,3.9
Devon,Harlow,Writing,good,4.3
Susan,Harmeling,Business,good,5.0
Bianca,Harper,Social Work,average,3.0
Joseph,Harper,Social Work,good,4.0
Christopher,Harrer,Business,good,4.8
Mary Beth,Harris,Social Work,average,3.2
Larry,Harris,Economics,average,2.9
Dustin,Harris,Social Work,good,4.9
Jennifer,Harris,Psychology,good,5.0
Christoph,Haselwandter,Physics & Astronomy,poor,2.1
Mazen,Hashem,Sociology,average,3.3
Hossein,Hashemi,Engineering,good,5.0
Cymra,Haskell,Mathematics,poor,2.3
Katie,Hasson,Sociology,good,4.3
Jordan,Hastings,Geography,poor,1.0
Velina,Hasu Houston,Theater,average,3.0
Herb,Hatanaka,Social Work,poor,2.0
Parag,Havaldar,Computer Science,good,4.7
James,Haw,Environmental Science,poor,2.0
Joseph,Hawkins,Sociology,average,3.1
John,Hawthorne,Philosophy,average,2.5
George,Hayden,Humanities,poor,2.4
Nicolai,Haydn,Mathematics,average,2.8
Sarah,Hayes,Physical Education,good,4.8
Jian,HE,Mathematics,good,4.0
Helaine,Head,Film,average,3.2
Brian,Head,Music,good,3.5
Tanya,Heflin,English,good,5.0
James,Heft,Religion,average,3.0
John,Heidelberg,Biology,good,4.5
Karla,Heidelberg,Biological Sciences,good,4.6
Gretchen,Heidemann-Whitt,Social Work,good,4.8
John,Heilman,Law,good,5.0
Steven,Heilman,Mathematics,good,3.5
Rena,Heinrich,Theatre,good,4.5
Susan,Helfter,Music,poor,2.1
Eric,Heller,Anthropology,good,3.5
Andrew,Henkes,Theatre,average,2.9
Ronald,Henry,Engineering,good,4.5
Patrick,Henry,Business,good,4.0
Benjamin,Henwood,Social Work,good,4.7
Lucas,Herchenroeder,Classics,average,3.0
Robert,Hernandez,Social Work,good,4.3
Danny,Hernandez,Sociology,good,4.9
Sorangel,Hernandez,Business,good,5.0
Albert,Herrera,Biology,average,3.2
Bruce,Herring,Neuroscience,poor,2.2
Megan,Herrold,English,good,5.0
Cynthia,Herrup,History,good,3.5
Knapp,Herschel,Social Work,good,5.0
Joshua,Herscher,Physical Education,good,5.0
Rebecca,Heymann,Occupational Therapy,good,5.0
Shon,Hiatt,Business,good,4.0
Nyora,Higgs,Social Work,average,3.0
Donald,Hill,Engineering,good,4.5
Edwin,Hill,French  Italian,average,3.1
Julia,Himberg,Cinema,good,4.3
Briana,Hinga,Education,good,4.2
Gerald,Hintz,Engineering,poor,1.9
Kim,Hirabayashi,Education,good,3.5
Samuel,Hires,Biological Sciences,average,3.1
Rika,Hiro,Art History,good,3.5
Judith,Hirsch,Neuroscience,average,3.4
Jean,Ho,Writing,good,4.7
Jessica,Ho,Gerontology,good,5.0
Trang,Hoang,Social Work,good,4.6
Gerard,Hoberg,Business,good,4.0
Perry,Hoberman,Cinema,poor,1.2
Amanda,Hobmeier,Writing,average,3.1
Leah,Hochman,Religion,average,2.9
Ron,Hock,Religion,good,4.7
Marge,Hoctor,Education,good,5.0
Andrea,Hodge,Engineering,good,4.6
Candance,Hodge,Education,poor,1.0
Beth,Hoffman,Health Science,average,3.3
Beth,Hogan,Theater,average,3.1
Matthew,Hogancamp,Mathematics,poor,1.5
Thieo,Hogen-Esch,Chemistry,poor,2.0
Matthew,Hogencamp,Mathematics,poor,1.5
Hajime,Hoji,Linguistics,poor,2.3
William,Holder,Accounting,poor,2.5
Tom,Hollihan,Communication,average,2.5
Andrea,Hollingshead,Communication,average,2.5
Tom,Holman,Film,good,3.5
Kristie,Holmes,Social Work,good,4.3
Joshua,Holo,Arts & Letters,good,3.8
Carsten,Holz,Economics,average,3.1
Peter,Holzhauer,Fine Arts,good,4.5
Ko,Honda,Mathematics,good,4.5
Pierrette,Hondagneu Sotelo,Sociology,good,5.0
Yu,Hong,Communication,poor,1.5
Jennifer,Hook,Sociology,good,4.8
Merle,Hopkins,Accounting,good,4.0
Julie,Hopper,Biological Sciences,poor,2.0
Ellis,Horowitz,Computer Science,good,3.8
Derek,Horstmeyer,Business,good,4.0
Stephanie,Horvath,Writing,good,5.0
Janet,Hoskins,Anthropology,good,3.9
Kenneth,Howard,Social Work,poor,2.4
Eunice,Howe,Fine Arts,average,3.2
Brooke,Howland,Education,good,3.5
Marc,Hoyois,Mathematics,poor,1.5
Nikki,Hozack,Social Work,good,4.3
Michael,Hricak,Architecture,good,5.0
